0.352579 0.393545 0.003439
0.348469 0.401917 0.003684
0.337658 0.405856 0.003782
0.328489 0.409690 0.003809
0.320208 0.413116 0.003827
0.312758 0.417750 0.003843
0.305614 0.422257 0.003851
0.299583 0.427490 0.003863
0.289956 0.431908 0.003883
0.281504 0.434694 0.003918
0.271381 0.438344 0.003961
0.261852 0.441204 0.003991
0.253421 0.444262 0.004018
0.244008 0.449025 0.004068
0.235802 0.454613 0.004128
0.228111 0.458923 0.004166
0.221281 0.462313 0.004193
0.215232 0.464972 0.004222
0.209133 0.467961 0.004249
0.203829 0.473956 0.004280
